"Mean Hourly Temperature (°C) for all sites, 01/01/06 thru 12/31/06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Bald Mesa,Beaver Basin,Burro Pass Tr,Dry Fk Mill Cr,E Mt Peale,Geyser Pass,Gold Basin,Grand-view,Horse Cr,La Sal Pass,L. Beaver,Mellenthin Meadows,Moonlight Meadows,Mt Mellenthin,N Peale RG,Wet Fk Mill Cr,Upper Dk Can,Upper Dk Can 2,Boren Mesa,Brumley Ridge,Chicken Creek,Clark Lake,Dinosaur Tracks,East Dark Canyon,Hwy 46 La Sal,Lower Geyser Pass Rd,La Sal Pass Junction,South Beaver Mesa,Warner Meadows
Logger S/N,532797,532798,533551,555505,533560,555501,441384,555497,532800,555506,710738,695788,625100,555494,532801,555502,555498,710739,733938,1001871,1001873,733939,625102,1001872,984395,733937,1001874,710736,733935
Elevation (m),2707.00,3378,3329,3232,3073,3207,3186,2204,3037,3091,3125,3195,3280,3445,3223,2988,3518,3512,2866,2354,2473,2863,2598,3253,2317,2503,2377,2537,2869
Date/Time,BMS,UBB,BPT,DFM,EMP,GEP,GOB,GRV,HCR,LSP,LBB,MEM,MOM,MEL,NPE,WFM,UDC,UD2,BOR,BRR,CCR,CLK,DIN,EDC,HWY,LGP,LPJ,SBM,WME
05/06/06 20:00:00.0,11.12,1.89,2.17,3.31,4.36,3.87,3.03,13.70,4.92,1.82,4.29,3.74,3.10,-0.61,3.74,5.54,,-1.51,,,,,,,,,,,
05/06/06 21:00:00.0,9.03,1.31,1.53,2.39,3.66,3.03,2.39,13.06,3.88,0.80,3.46,2.96,1.60,-0.61,3.10,4.36,,-1.82,,,,,,,,,,,
05/06/06 22:00:00.0,6.42,0.73,0.73,1.67,2.96,1.67,1.53,11.19,1.96,0.29,2.75,1.81,0.44,-0.61,1.45,3.03,,-2.05,,,,,,,,,,,
05/06/06 23:00:00.0,5.20,0.14,-0.61,0.73,2.53,0.36,0.88,10.60,0.66,-0.01,1.82,-0.54,-0.16,-0.61,0.14,1.39,,-2.36,,,,,,,,,,,
05/07/06 00:00:00.0,5.20,0.22,-1.06,0.88,2.32,-0.16,0.36,10.60,0.07,-0.09,1.74,-1.21,-0.16,-0.61,-0.54,0.73,,-2.75,,,,,,,,,,,
05/07/06 01:00:00.0,5.13,-0.01,-1.06,0.73,1.82,-0.16,0.44,10.47,-0.16,0.29,1.82,-1.21,-0.16,-0.61,-0.76,0.44,,-2.82,,,,,,,,,,,
05/07/06 02:00:00.0,4.43,-0.39,-0.76,0.51,1.31,-0.01,0.73,9.82,0.07,0.07,1.39,-1.06,-0.16,-0.61,-0.01,0.44,,-2.90,,,,,,,,,,,
05/07/06 03:00:00.0,4.22,-0.31,-0.16,0.29,1.17,0.22,0.73,9.75,-0.01,-0.16,1.17,0.07,-0.16,-0.61,1.17,0.66,,-2.59,,,,,,,,,,,
05/07/06 04:00:00.0,3.45,-0.84,-0.54,0.14,0.95,-0.39,0.29,9.29,-0.39,-0.09,1.53,-0.16,-0.46,-0.61,0.88,0.44,,-2.82,,,,,,,,,,,
05/07/06 05:00:00.0,3.17,-1.14,-1.14,-0.31,0.73,-1.06,-0.16,9.10,-1.06,-0.16,1.17,-0.61,-1.14,-0.61,0.73,-0.39,,-3.14,,,,,,,,,,,
05/07/06 06:00:00.0,2.46,-1.06,-0.61,-1.29,0.73,-0.99,-0.31,8.63,-1.36,-0.39,0.44,-0.84,-0.61,-0.61,0.66,-0.54,,-3.37,,,,,,,,,,,
05/07/06 07:00:00.0,2.75,-1.06,-0.61,-1.97,0.44,-0.54,-0.54,8.83,-1.51,0.51,0.07,-1.06,-0.61,-0.61,0.44,-0.61,,-3.45,,,,,,,,,,,
05/07/06 08:00:00.0,2.96,-0.99,-0.99,-2.36,0.22,-0.84,-0.61,8.83,-1.97,2.03,0.06,-1.06,-0.61,-0.61,0.29,-0.76,,-3.77,,,,,,,,,,,
05/07/06 09:00:00.0,5.18,-0.54,-0.76,-2.44,0.88,-0.61,-0.31,8.76,-1.51,3.52,2.10,0.79,-0.39,-0.61,0.73,-0.54,,-3.37,,,,,,,,,,,
05/07/06 10:00:00.0,8.03,-0.09,0.88,0.88,2.46,0.66,1.02,9.94,1.01,4.43,3.38,6.08,2.78,-0.61,2.17,0.58,,-3.29,,,,,,,,,,,
05/07/06 11:00:00.0,9.62,1.02,2.10,7.08,3.73,1.89,2.32,12.87,3.31,4.99,4.78,5.47,4.01,-0.61,3.45,3.10,,-2.75,,,,,,,,,,,
05/07/06 12:00:00.0,10.54,1.53,2.17,5.32,5.13,3.03,2.96,13.83,4.08,5.47,4.99,4.85,3.45,-0.61,3.67,5.26,,-2.13,,,,,,,,,,,
05/07/06 13:00:00.0,10.53,2.67,2.82,3.80,5.95,3.31,3.10,14.53,4.99,5.40,5.13,4.36,3.45,-0.61,3.74,6.21,,-1.59,,,,,,,,,,,
05/07/06 14:00:00.0,12.48,2.39,2.96,4.43,6.55,4.43,3.59,14.59,4.85,6.22,5.26,5.33,3.94,-0.61,4.15,7.03,,-1.29,,,,,,,,,,,
05/07/06 15:00:00.0,12.48,2.68,3.53,4.64,8.62,4.85,3.74,15.11,5.74,7.10,5.95,5.47,4.64,-0.61,4.22,8.16,,-1.06,,,,,,,,,,,
05/07/06 16:00:00.0,12.09,3.10,4.08,4.98,6.83,5.26,4.29,15.36,6.69,7.50,5.95,5.88,5.12,-0.61,4.57,8.43,,-1.06,,,,,,,,,,,
05/07/06 17:00:00.0,12.87,3.24,4.36,5.88,7.10,5.61,4.50,16.32,7.10,7.23,7.10,5.88,5.47,-0.61,5.20,9.82,,-1.06,,,,,,,,,,,
05/07/06 18:00:00.0,14.09,3.38,4.22,5.74,6.69,6.01,5.13,17.08,7.10,5.67,6.83,5.74,5.26,-0.61,5.47,9.62,,-0.84,,,,,,,,,,,
05/07/06 19:00:00.0,13.51,3.60,4.08,5.67,6.62,6.42,5.06,17.14,7.50,4.71,6.42,5.74,5.06,-0.61,5.74,7.96,,-0.91,,,,,,,,,,,
05/07/06 20:00:00.0,12.80,3.45,4.08,5.13,6.08,6.08,4.57,16.63,6.42,2.74,6.15,5.67,4.43,-0.61,5.47,7.30,,-0.84,,,,,,,,,,,
05/07/06 21:00:00.0,11.77,3.24,3.53,4.43,5.40,5.19,4.22,15.81,5.19,1.82,5.54,5.13,3.03,-0.61,4.78,6.42,,-1.06,,,,,,,,,,,
05/07/06 22:00:00.0,8.10,2.60,2.39,2.67,4.36,3.24,3.24,13.77,2.60,1.60,4.85,3.17,1.89,-0.61,2.74,4.15,,-1.29,,,,,,,,,,,
05/07/06 23:00:00.0,7.30,2.39,1.24,2.60,3.67,2.25,3.24,13.06,1.67,2.03,3.81,0.66,1.46,-0.61,2.67,2.46,,-1.51,,,,,,,,,,,
05/08/06 00:00:00.0,7.56,1.82,1.31,2.89,3.31,2.10,3.17,12.87,1.31,1.82,3.45,0.06,1.60,-0.61,3.24,2.96,,-1.74,,,,,,,,,,,
05/08/06 01:00:00.0,8.16,2.03,1.96,3.10,3.53,2.46,2.89,13.19,2.03,1.17,4.85,2.39,1.96,-0.61,3.38,3.45,,-1.97,,,,,,,,,,,
05/08/06 02:00:00.0,7.43,2.17,1.31,3.17,3.67,2.39,2.82,13.19,1.46,1.24,4.16,2.46,1.60,-0.61,3.52,2.74,,-1.97,,,,,,,,,,,
05/08/06 03:00:00.0,7.56,2.39,0.73,2.89,3.53,1.96,2.39,13.32,0.66,1.96,4.57,0.66,1.39,-0.61,4.02,1.89,,-2.05,,,,,,,,,,,
05/08/06 04:00:00.0,7.56,2.89,1.38,2.60,4.08,2.03,2.25,13.58,0.58,2.96,4.78,0.43,1.31,-0.61,5.06,1.74,,-1.97,,,,,,,,,,,
05/08/06 05:00:00.0,8.36,3.31,2.17,2.67,4.71,2.89,3.38,14.22,1.46,3.17,4.99,2.46,1.60,-0.61,5.61,2.39,,-1.97,,,,,,,,,,,
05/08/06 06:00:00.0,8.30,3.03,2.46,3.24,4.78,3.66,3.45,14.47,2.74,3.31,5.26,4.22,1.60,-0.61,5.13,3.31,,-1.97,,,,,,,,,,,
05/08/06 07:00:00.0,8.43,2.89,2.89,3.60,4.78,4.01,3.74,14.28,4.78,2.96,5.20,4.57,1.82,-0.61,4.99,4.57,,-1.97,,,,,,,,,,,
05/08/06 08:00:00.0,8.30,2.32,2.60,3.31,4.36,3.53,3.31,13.64,4.57,3.88,4.99,4.02,1.74,-0.61,4.43,4.71,,-2.13,,,,,,,,,,,
05/08/06 09:00:00.0,8.10,2.10,2.46,2.89,4.22,2.96,2.89,13.13,4.15,4.64,5.06,3.88,1.74,-0.61,3.95,4.36,,-2.44,,,,,,,,,,,
05/08/06 10:00:00.0,8.83,2.17,2.82,3.93,5.06,3.31,3.45,12.87,4.43,4.64,5.54,6.28,3.23,-0.61,3.95,4.64,,-2.28,,,,,,,,,,,
05/08/06 11:00:00.0,9.09,2.03,2.46,3.81,5.61,3.31,3.31,12.55,4.57,5.40,5.13,4.71,3.52,-0.61,3.87,4.99,,-1.97,,,,,,,,,,,
05/08/06 12:00:00.0,9.82,2.25,2.53,4.22,5.88,3.53,3.31,12.80,5.06,6.22,5.06,5.13,3.59,-0.61,3.81,5.81,,-1.36,,,,,,,,,,,
05/08/06 13:00:00.0,11.51,3.03,3.38,4.92,6.08,4.15,3.67,14.21,5.40,6.49,5.88,5.26,4.57,-0.61,4.22,7.43,,-0.91,,,,,,,,,,,
05/08/06 14:00:00.0,12.22,3.17,3.95,5.20,8.29,4.99,4.15,15.55,6.02,6.69,6.29,5.54,5.26,-0.61,4.43,8.16,,-0.61,,,,,,,,,,,
05/08/06 15:00:00.0,13.57,3.24,4.36,5.47,11.12,5.33,4.36,16.57,6.96,7.36,7.10,5.88,5.33,-0.61,4.50,10.14,,-0.61,,,,,,,,,,,
05/08/06 16:00:00.0,13.57,3.53,4.29,5.61,7.76,5.81,4.71,16.89,6.89,5.74,6.69,6.29,5.40,-0.61,4.92,9.82,,-0.61,,,,,,,,,,,
05/08/06 17:00:00.0,14.66,4.15,5.33,6.69,7.03,6.49,5.26,17.71,8.56,4.99,7.30,6.83,6.15,-0.61,5.33,10.93,,-0.61,,,,,,,,,,,
05/08/06 18:00:00.0,12.61,4.15,4.71,6.01,6.01,6.15,4.85,17.65,7.76,4.29,7.23,6.29,5.13,-0.61,4.99,9.09,,-0.61,,,,,,,,,,,
05/08/06 19:00:00.0,11.12,3.60,3.87,5.06,5.06,4.85,5.06,16.63,6.83,4.50,6.49,5.67,3.66,-0.61,5.47,7.56,,-0.54,,,,,,,,,,,
05/08/06 20:00:00.0,12.29,3.39,3.59,4.50,4.99,4.43,5.06,16.57,6.29,3.73,5.95,4.85,2.96,-0.61,5.13,6.89,,-0.54,,,,,,,,,,,
05/08/06 21:00:00.0,11.64,3.53,3.74,4.64,4.57,4.92,4.78,15.55,6.15,3.31,5.88,4.85,2.96,-0.61,4.92,6.83,,-0.76,,,,,,,,,,,
05/08/06 22:00:00.0,8.69,2.39,2.82,3.52,3.81,3.66,3.45,13.38,4.50,3.24,4.99,3.66,2.82,-0.61,4.16,5.33,,-1.29,,,,,,,,,,,
05/08/06 23:00:00.0,8.16,2.03,2.60,2.89,3.45,3.31,3.17,12.49,3.88,2.46,4.50,3.31,2.68,-0.61,3.67,4.36,,-1.51,,,,,,,,,,,
05/09/06 00:00:00.0,7.90,1.82,2.39,2.60,3.24,3.03,2.82,12.55,3.80,1.60,4.08,3.03,2.32,-0.61,3.38,4.02,,-1.51,,,,,,,,,,,
05/09/06 01:00:00.0,6.89,0.95,1.38,2.25,2.68,2.39,2.25,11.64,3.74,1.10,3.31,2.53,1.67,-0.61,2.60,4.01,,-1.74,,,,,,,,,,,
05/09/06 02:00:00.0,4.08,-0.76,-0.46,0.66,1.38,0.36,0.95,10.54,2.03,0.73,1.17,0.73,-0.01,-0.61,1.10,1.82,,-1.74,,,,,,,,,,,
05/09/06 03:00:00.0,2.89,-1.06,-1.06,-0.01,0.51,-0.69,0.44,9.88,0.80,0.14,0.51,-0.24,-0.54,-0.61,0.66,0.80,,-1.97,,,,,,,,,,,
05/09/06 04:00:00.0,3.03,-0.91,-1.21,-0.54,0.44,-0.39,0.73,9.62,0.07,-0.61,-0.01,-0.69,-0.31,-0.61,0.66,0.22,,-2.28,,,,,,,,,,,
05/09/06 05:00:00.0,2.53,-1.14,-1.66,-1.51,-0.16,-0.76,-0.39,8.63,-0.24,-0.16,-0.76,-1.59,-0.61,-0.61,-0.16,-0.54,,-2.82,,,,,,,,,,,
05/09/06 06:00:00.0,2.82,-1.59,-1.66,-2.28,-0.54,-0.84,-0.84,8.50,-0.61,-0.01,-1.36,-1.89,-0.61,-0.61,-0.61,-1.06,,-3.37,,,,,,,,,,,
05/09/06 07:00:00.0,3.74,-1.51,-0.76,-1.14,-0.16,0.14,0.07,9.23,-0.54,0.29,-1.21,-1.06,-0.61,-0.61,-0.09,-0.16,,-3.37,,,,,,,,,,,
05/09/06 08:00:00.0,3.67,-1.74,-1.06,-0.69,0.07,-0.39,-0.16,9.03,-0.16,0.22,-0.91,-0.61,-0.91,-0.61,0.22,0.29,,-3.37,,,,,,,,,,,
05/09/06 09:00:00.0,3.81,-1.97,-1.36,-0.69,0.29,-0.69,-0.24,8.50,0.36,0.07,-0.16,-0.61,-1.06,-0.61,-0.16,0.44,,-3.77,,,,,,,,,,,
05/09/06 10:00:00.0,4.15,-1.97,-1.29,-0.61,0.44,-0.76,-0.91,8.63,0.73,0.58,0.29,-0.46,-0.99,-0.61,-0.46,0.80,,-3.85,,,,,,,,,,,
05/09/06 11:00:00.0,4.64,-1.74,-1.14,-0.24,0.66,-0.61,-0.91,9.03,1.17,1.53,0.58,-0.16,-0.54,-0.61,-0.61,1.24,,-3.85,,,,,,,,,,,
05/09/06 12:00:00.0,5.95,-1.14,-0.76,0.36,1.39,-0.16,-0.76,9.82,1.53,1.31,1.24,0.58,0.14,-0.61,-0.09,2.17,,-3.85,,,,,,,,,,,
05/09/06 13:00:00.0,7.16,-0.91,0.21,1.24,2.39,0.51,-0.16,10.41,2.03,2.03,1.82,1.82,0.95,-0.61,0.51,3.52,,-3.45,,,,,,,,,,,
05/09/06 14:00:00.0,6.69,-1.44,-0.24,0.73,3.52,0.29,-0.39,10.28,1.89,3.38,1.67,1.09,0.58,-0.61,0.44,3.24,,-2.90,,,,,,,,,,,
05/09/06 15:00:00.0,8.36,-0.61,0.36,1.09,5.59,1.09,0.21,12.55,2.96,4.15,2.81,1.89,1.46,-0.61,0.80,3.87,,-2.90,,,,,,,,,,,
05/09/06 16:00:00.0,10.01,0.36,1.17,2.25,5.06,2.68,1.24,13.06,3.94,4.91,3.73,2.39,2.89,-0.61,1.67,5.33,,-2.52,,,,,,,,,,,
05/09/06 17:00:00.0,10.14,0.29,1.96,3.39,4.64,3.10,1.82,13.96,5.20,4.64,4.71,2.60,3.46,-0.61,2.60,7.09,,-2.44,,,,,,,,,,,
05/09/06 18:00:00.0,11.06,0.58,1.96,4.01,4.22,4.01,2.17,14.53,5.95,3.17,4.99,3.10,3.95,-0.61,3.17,7.50,,-2.52,,,,,,,,,,,
05/09/06 19:00:00.0,10.54,0.58,1.67,4.01,4.08,3.74,2.17,14.66,5.74,2.17,3.87,2.53,3.88,-0.61,3.31,5.74,,-3.14,,,,,,,,,,,
05/09/06 20:00:00.0,9.75,0.29,1.24,3.24,3.38,3.31,1.96,14.47,4.57,1.02,2.89,2.25,2.17,-0.61,2.53,4.78,,-3.45,,,,,,,,,,,
05/09/06 21:00:00.0,8.23,0.07,0.44,2.03,2.32,2.39,1.53,13.12,3.73,-0.31,2.60,1.74,0.36,-0.61,1.89,3.59,,-4.09,,,,,,,,,,,
05/09/06 22:00:00.0,4.91,-0.76,-0.39,0.51,1.38,0.80,0.51,10.14,1.81,-0.99,1.89,0.36,-0.76,-0.61,1.31,2.32,,-4.66,,,,,,,,,,,
05/09/06 23:00:00.0,2.74,-1.66,-1.36,-0.91,0.44,-0.84,-0.54,8.76,-0.31,-1.82,0.95,-1.21,-1.21,-0.61,0.44,0.43,,-5.31,,,,,,,,,,,
05/10/06 00:00:00.0,1.96,-2.36,-1.82,-1.59,-0.16,-1.89,-0.91,8.70,-0.99,-2.21,0.29,-1.74,-1.59,-0.61,-0.16,-0.61,,-5.81,,,,,,,,,,,
05/10/06 01:00:00.0,1.89,-2.90,-2.21,-1.74,-0.54,-1.66,-1.29,7.76,-1.36,-2.82,-0.46,-1.97,-2.05,-0.61,-0.84,-0.91,,-6.31,,,,,,,,,,,
05/10/06 02:00:00.0,-0.02,-3.37,-2.98,-2.28,-1.21,-2.90,-2.28,6.96,-1.74,-3.14,-1.06,-2.36,-2.83,-0.61,-1.36,-1.29,,-6.65,,,,,,,,,,,
05/10/06 03:00:00.0,-0.61,-3.85,-3.61,-3.61,-1.59,-3.45,-2.98,5.67,-2.13,-2.98,-1.90,-2.90,-3.37,-0.61,-1.59,-2.05,,-6.99,,,,,,,,,,,
05/10/06 04:00:00.0,-1.21,-4.41,-3.85,-4.09,-1.97,-4.01,-3.37,6.02,-2.67,-2.28,-2.52,-3.61,-3.85,-0.61,-2.21,-2.44,,-7.42,,,,,,,,,,,
05/10/06 05:00:00.0,-0.54,-4.82,-3.77,-3.85,-2.44,-3.22,-3.37,5.67,-3.37,-2.36,-2.67,-3.46,-3.45,-0.61,-2.44,-2.44,,-7.85,,,,,,,,,,,
05/10/06 06:00:00.0,-0.84,-4.66,-3.69,-4.42,-2.05,-2.21,-2.90,5.40,-2.82,-2.44,-2.05,-2.21,-3.37,-0.61,-2.28,-2.05,,-8.29,,,,,,,,,,,
05/10/06 07:00:00.0,-1.06,-4.82,-3.93,-4.82,-1.97,-2.82,-3.14,4.43,-2.13,-2.21,-1.97,-2.67,-3.69,-0.61,-2.52,-1.97,,-8.38,,,,,,,,,,,
05/10/06 08:00:00.0,-1.06,-4.82,-4.33,-5.31,-2.13,-3.37,-3.53,2.67,-2.44,-1.44,-2.13,-3.06,-4.25,-0.61,-2.90,-2.44,,-8.82,,,,,,,,,,,
05/10/06 09:00:00.0,1.16,-4.58,-4.33,-5.31,-1.74,-3.37,-3.69,4.64,-2.28,-0.39,-0.84,-2.52,-3.93,-0.61,-2.90,-2.44,,-9.19,,,,,,,,,,,
05/10/06 10:00:00.0,3.24,-4.25,-3.06,-1.60,-0.69,-3.14,-2.98,6.28,-1.06,0.73,-0.24,0.50,-1.23,-0.99,-1.90,-1.90,,-8.73,,,,,,,,,,,
05/10/06 11:00:00.0,4.50,-3.14,-1.90,3.23,0.43,-2.05,-1.97,8.83,-0.09,1.96,0.36,0.88,-0.69,-1.06,-0.76,0.21,,-7.77,,,,,,,,,,,
05/10/06 12:00:00.0,6.01,-2.29,-0.69,3.03,2.03,-0.76,-1.29,10.01,0.95,2.89,1.46,1.74,-0.09,-1.06,-0.39,2.10,,-6.40,,,,,,,,,,,
05/10/06 13:00:00.0,6.76,-0.39,0.51,1.81,3.03,0.58,-0.09,10.47,2.03,3.45,1.53,1.96,0.95,-1.06,0.80,3.81,,-5.23,,,,,,,,,,,
05/10/06 14:00:00.0,8.16,-0.76,0.95,1.46,4.91,2.17,1.17,11.19,2.96,3.74,2.25,1.74,1.46,-1.06,1.39,5.53,,-4.41,,,,,,,,,,,
05/10/06 15:00:00.0,8.89,-0.31,1.60,1.67,8.16,3.10,1.17,11.51,4.02,4.22,3.17,2.46,2.17,-1.06,2.17,6.56,,-4.01,,,,,,,,,,,
05/10/06 16:00:00.0,9.49,-0.01,2.39,2.53,5.67,3.80,1.46,12.61,4.50,5.19,3.10,2.89,2.53,-1.06,2.82,7.03,,-3.53,,,,,,,,,,,
05/10/06 17:00:00.0,9.75,-0.31,2.17,2.82,4.99,3.53,1.74,13.06,5.06,4.78,3.81,2.96,3.03,-1.06,3.24,7.96,,-3.29,,,,,,,,,,,
05/10/06 18:00:00.0,10.34,-0.39,1.39,2.39,4.43,4.16,1.39,13.64,5.61,3.17,3.66,2.46,2.89,-1.06,3.46,6.42,,-2.82,,,,,,,,,,,
05/10/06 19:00:00.0,10.34,-0.46,1.24,2.46,4.01,3.67,1.17,13.77,5.19,2.17,3.03,1.74,2.82,-1.06,3.45,5.33,,-2.44,,,,,,,,,,,
05/10/06 20:00:00.0,9.49,-0.91,0.73,2.32,3.53,2.96,0.51,13.26,4.08,0.95,1.67,1.60,1.81,-1.06,2.60,4.22,,-2.75,,,,,,,,,,,
05/10/06 21:00:00.0,7.50,-1.44,-0.84,1.38,2.32,1.82,-0.01,12.42,2.32,0.44,0.21,0.28,0.44,-1.06,-0.61,2.89,,-2.98,,,,,,,,,,,
05/10/06 22:00:00.0,4.22,-1.89,-1.97,-0.61,0.80,0.29,-0.91,10.86,0.58,-0.39,-1.21,-1.52,-0.39,-1.06,-1.66,1.09,,-3.37,,,,,,,,,,,
05/10/06 23:00:00.0,3.46,-2.28,-2.90,-2.05,-0.01,-1.67,-1.51,10.21,-0.76,-1.29,-1.97,-2.67,-1.14,-1.06,-2.21,-0.09,,-3.69,,,,,,,,,,,
05/11/06 00:00:00.0,2.89,-2.21,-2.90,-2.21,-0.16,-1.89,-1.97,8.90,-1.29,-1.51,-2.36,-3.21,-1.29,-1.06,-2.98,-0.76,,-3.93,,,,,,,,,,,
05/11/06 01:00:00.0,2.03,-1.90,-3.14,-2.44,-0.46,-1.97,-2.36,9.49,-1.82,-1.66,-2.82,-3.77,-1.67,-1.06,-3.53,-1.51,,-4.33,,,,,,,,,,,
05/11/06 02:00:00.0,1.89,-2.05,-3.69,-3.29,-0.61,-2.44,-2.98,9.03,-2.13,-2.21,-3.21,-3.85,-1.59,-1.06,-4.01,-1.82,,-4.66,,,,,,,,,,,
05/11/06 03:00:00.0,1.96,-1.97,-3.93,-3.85,-0.91,-2.05,-2.90,9.03,-2.52,-2.44,-3.69,-4.33,-1.82,-1.06,-4.17,-2.28,,-5.07,,,,,,,,,,,
05/11/06 04:00:00.0,2.53,-1.66,-3.61,-3.85,-1.29,-2.28,-2.67,8.63,-2.90,-2.28,-3.93,-4.09,-2.44,-1.06,-2.60,-2.44,,-5.64,,,,,,,,,,,
05/11/06 05:00:00.0,2.75,-1.74,-3.45,-3.85,-1.51,-2.44,-2.90,8.50,-3.37,-2.44,-4.25,-4.01,-2.28,-1.06,-0.91,-2.59,,-5.89,,,,,,,,,,,
05/11/06 06:00:00.0,1.82,-1.66,-3.53,-3.69,-1.51,-2.44,-2.90,7.96,-3.69,-2.28,-4.33,-4.49,-2.44,-1.06,-1.14,-2.90,,-6.31,,,,,,,,,,,
05/11/06 07:00:00.0,1.60,-2.28,-3.85,-4.25,-0.91,-2.90,-3.21,7.76,-3.85,-0.76,-4.33,-4.82,-2.44,-1.06,-0.69,-2.90,,-6.57,,,,,,,,,,,
05/11/06 08:00:00.0,2.03,-2.05,-4.01,-4.17,-0.39,-2.82,-3.37,7.43,-4.01,1.74,-4.09,-4.58,-2.44,-1.06,-0.69,-3.14,,-6.82,,,,,,,,,,,
05/11/06 09:00:00.0,5.86,-0.54,-3.30,-3.77,0.95,-1.82,-2.51,7.83,-3.61,3.45,-1.52,-0.56,-1.97,-1.06,1.02,-2.90,,-6.31,,,,,,,,,,,
05/11/06 10:00:00.0,8.56,0.29,0.06,-0.30,2.74,0.13,-0.54,9.02,-1.75,4.64,1.09,4.91,2.97,-1.06,2.96,-2.36,,-6.06,,,,,,,,,,,
05/11/06 11:00:00.0,10.41,2.17,1.53,5.60,4.43,2.39,1.46,12.10,1.52,5.67,4.57,6.15,3.32,-1.06,4.15,1.51,,-5.23,,,,,,,,,,,
05/11/06 12:00:00.0,11.77,3.87,2.89,5.95,5.74,3.73,2.82,13.44,4.08,6.08,5.54,6.35,3.66,-1.06,4.64,5.12,,-4.25,,,,,,,,,,,
05/11/06 13:00:00.0,12.87,5.13,4.08,5.54,7.16,4.92,4.15,13.83,5.19,6.83,6.02,6.49,4.57,-1.06,5.20,7.23,,-3.06,,,,,,,,,,,
05/11/06 14:00:00.0,13.51,4.78,4.64,5.40,8.63,6.08,4.71,14.41,5.88,7.50,6.49,6.62,5.13,-1.06,5.88,8.70,,-2.21,,,,,,,,,,,
05/11/06 15:00:00.0,15.04,5.13,5.20,5.67,10.60,6.76,4.50,15.49,6.69,7.96,7.30,6.89,5.74,-1.06,6.49,9.88,,-1.36,,,,,,,,,,,
05/11/06 16:00:00.0,15.04,5.54,5.88,6.35,9.29,7.43,4.78,16.44,7.56,8.89,7.76,7.50,6.35,-1.06,7.10,10.93,,-0.99,,,,,,,,,,,
05/11/06 17:00:00.0,14.85,5.33,5.95,6.96,8.96,7.90,5.33,17.33,8.43,8.16,8.56,7.76,6.96,-1.06,7.70,11.58,,-0.76,,,,,,,,,,,
05/11/06 18:00:00.0,15.81,4.99,5.67,7.10,8.70,8.36,4.57,18.03,9.56,6.69,8.56,7.43,7.70,-1.06,7.96,11.45,,-0.76,,,,,,,,,,,
05/11/06 19:00:00.0,16.13,4.92,5.54,7.16,8.43,8.43,4.29,18.03,8.83,4.78,8.30,7.03,7.83,-1.06,7.90,9.55,,-1.06,,,,,,,,,,,
05/11/06 20:00:00.0,14.92,4.29,4.57,6.29,7.50,7.43,3.31,17.46,7.30,3.46,6.69,6.28,6.15,-1.06,6.14,8.23,,-1.36,,,,,,,,,,,
05/11/06 21:00:00.0,11.38,3.46,3.31,4.57,5.74,6.28,2.46,15.74,4.57,2.53,4.36,4.64,4.01,-1.06,3.52,6.35,,-2.05,,,,,,,,,,,
05/11/06 22:00:00.0,7.76,2.89,1.24,1.89,4.50,3.38,1.96,13.64,2.25,1.67,2.46,1.17,3.03,-1.06,1.53,3.80,,-2.82,,,,,,,,,,,
05/11/06 23:00:00.0,7.43,2.96,0.73,0.88,4.15,2.46,1.67,13.58,1.10,1.60,1.17,0.58,2.25,-1.06,1.39,2.25,,-2.90,,,,,,,,,,,
05/12/06 00:00:00.0,7.43,3.10,0.95,0.44,3.94,2.39,1.31,13.51,0.36,1.60,0.95,1.17,2.03,-1.06,3.59,1.67,,-2.98,,,,,,,,,,,
05/12/06 01:00:00.0,7.30,2.82,0.73,0.22,4.29,2.39,1.17,14.15,-0.16,1.39,1.24,0.44,2.03,-1.06,3.45,1.39,,-2.90,,,,,,,,,,,
05/12/06 02:00:00.0,7.10,2.89,0.36,0.14,3.24,2.39,1.10,13.70,-0.39,1.17,0.95,-0.01,2.03,-1.06,1.96,1.17,,-3.14,,,,,,,,,,,
05/12/06 03:00:00.0,7.50,2.82,0.07,-0.16,3.10,2.17,0.80,13.77,-0.61,1.02,0.95,0.21,1.74,-1.06,2.59,0.80,,-3.37,,,,,,,,,,,
05/12/06 04:00:00.0,7.63,2.46,0.22,-0.39,4.15,1.74,1.02,13.51,-1.06,1.17,1.02,0.66,1.39,-1.06,2.82,0.73,,-3.37,,,,,,,,,,,
05/12/06 05:00:00.0,7.16,2.53,-0.01,-0.61,3.45,1.60,0.80,13.32,-1.06,1.67,1.17,-0.39,1.17,-1.06,1.17,0.58,,-3.37,,,,,,,,,,,
05/12/06 06:00:00.0,7.16,2.60,-0.16,-0.84,2.39,1.53,0.73,13.38,-1.51,2.17,0.44,-1.06,1.17,-1.06,0.95,0.29,,-3.37,,,,,,,,,,,
05/12/06 07:00:00.0,6.62,2.82,-0.31,-0.99,2.17,1.46,0.95,13.77,-1.51,3.80,-0.69,-1.14,1.24,-1.06,-0.09,0.29,,-3.37,,,,,,,,,,,
05/12/06 08:00:00.0,7.23,3.03,-0.16,-0.61,2.46,1.60,1.17,13.32,-1.51,6.35,-0.46,-1.21,1.60,-1.06,-0.61,0.44,,-3.37,,,,,,,,,,,
